Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
PJC.A,"Jean Coutu Group, A",36,Buy,34542.6016,3.9000,2247.3638,7.7286,6.5986,2.0454,15.5500,12.0900,28.6187,
SVM,"Silvercorp Metals Inc.*",37,Buy,34542.6016,3.9000,925.2305,1.8360,0.4126,8.7258,18.9000,13.7000,37.9562,
ECA,"EnCana Corporation*",38,Buy,34542.6016,3.9000,46618.5820,25.9988,24.6905,2.3927,61.8900,58.0000,6.7069,
GIB.A,"CGI Group Inc., A",39,Buy,34542.6016,3.9000,3450.4937,5.6780,5.2055,2.0606,11.7000,7.0000,67.1429,
IMN,"Inmet Mining Corp.*",40,Buy,34542.6016,3.9000,4117.6309,25.7220,17.2878,3.3158,85.2900,46.5000,83.4194,
AVM,"Anvil Mining Limited*",41,Buy,34542.6016,3.9000,1229.0734,7.9636,4.4339,2.2024,17.4500,9.1000,91.7582,
UTS,"UTS Energy Corp.",42,Buy,34542.6016,3.9000,2395.4280,1.0561,0.7110,5.3025,5.6000,4.7500,17.8947,
MBT,"Manitoba Telecom Srvcs",43,Buy,34542.6016,3.9000,3192.0798,22.0794,20.4937,2.2374,49.4000,47.3400,4.3515,
NDN,"Nordion Inc.*",44,Buy,34542.6016,3.9000,2996.0974,15.5840,10.5845,1.3894,20.7000,22.2900,-7.1332,
CCA,"Cogeco Communications",45,Buy,34542.6016,3.9000,1498.8645,21.6743,17.9276,1.9026,45.9000,25.2400,81.8542,
WTO,"Western Oil Sands Inc.",46,Buy,34542.6016,3.9000,6058.8218,5.6521,4.1796,6.6205,37.4200,29.5000,26.8475,
BPO,"Brookfield Off Prop*",47,Buy,34542.6016,3.9000,9568.5918,8.3576,6.0530,2.9570,24.1500,25.8746,-6.6652,
CLL,"Connacher Oil & Gas",48,Buy,34542.6016,3.9000,726.1821,2.1012,1.7749,1.7371,3.6500,4.0300,-9.4293,
SJR.B,"Shaw Communications, B",49,Buy,34542.6016,3.9000,10594.7002,4.6081,3.9381,5.4877,24.5200,16.6000,47.7108,
S,"Sherritt Int'l. Corp.",50,Buy,34542.6016,3.9000,3724.9790,11.4007,8.5150,1.3990,15.9500,10.6900,49.2049,
CCO,"Cameco Corporation",51,Buy,34542.6016,3.9000,15094.3896,8.5793,7.4075,4.9713,42.6500,45.2400,-5.7250,
WJA,"WestJet Airlines Ltd.",52,Buy,34542.6016,3.9000,2051.7388,6.1594,5.5214,2.5489,15.7000,9.7800,60.5317,
SOY,"SunOpta, Inc. *",53,Buy/Sell,34542.6016,3.9000,862.7849,4.1933,3.3539,3.2814,13.6900,9.1800,49.1285,
FNX,"FNX Mining Company Inc.",54,Buy,34542.6016,3.9000,2413.7566,8.3832,6.9817,3.4354,28.8000,13.0500,120.6896,
POW,"Power Corp. of Canada",55,Buy,34542.6016,3.9000,16397.4785,20.0538,15.2241,2.0196,40.5000,32.4800,24.6921,
CEF.A,"Central Fund of Cda, A*",56,Buy,34542.6016,3.9000,1091.0309,9.2247,9.0249,1.0516,9.6300,9.9600,-3.3133,
CM,"Cdn Imperial Bank",57,Buy,34542.6016,3.9000,32034.9980,33.0489,27.9633,2.8957,95.7000,80.3300,19.1336,
FTT,"Finning International",58,Buy,34542.6016,3.9000,5528.5361,9.4256,8.4193,3.3116,30.8500,19.8650,55.2983,
NB1,"Northbridge Financial",59,Buy/Sell,34542.6016,3.9000,1744.1893,26.6958,21.7414,1.2928,34.3000,30.4400,12.6807,
PCA1,"Petro-Canada",60,Buy,34542.6016,3.9000,26340.9336,22.6473,18.7082,2.3919,53.8600,47.2000,14.1102,
