Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
QBR.B,"Quebecor Inc., B",36,Buy,37075.1406,0.9900,2795.1318,6.8539,12.3850,3.3051,22.5700,17.6500,27.8754,
TCL.A,"Transcontinental Inc.",37,Buy/Sell,37075.1406,0.9900,1066.4606,9.4402,11.4308,1.4728,13.6900,9.8100,39.5515,
IAG,"Industrial Alliance",38,Buy,37075.1406,0.9900,4056.2588,29.0217,29.5352,1.4362,41.3300,25.1200,64.5303,
MAXR,"Maxar Technologies *",39,Buy,37075.1406,0.9900,2931.0322,16.5839,7.8624,4.9054,81.3500,59.1500,37.5317,
SJ,"Stella-Jones Inc.",40,Buy,37075.1406,0.9900,1704.2516,30.7167,22.7448,3.2523,99.2500,57.2200,73.4533,
BPO,"Brookfield Off Prop*",41,Buy,37075.1406,0.9900,8515.3604,21.8230,19.1556,0.7772,16.8500,16.5500,1.8127,
CCT,"Catamaran Corp.*",42,Buy,37075.1406,0.9900,11890.0459,24.2374,9.3496,2.3798,57.6800,42.7800,34.8294,
SLF,"Sun Life Financial Inc.",43,Buy,37075.1406,0.9900,19457.5801,24.9521,23.1968,1.3057,32.1100,23.0100,39.5480,
CGX,"Cineplex Inc.",44,Buy,37075.1406,0.9900,2458.5081,11.8205,11.0310,3.3781,39.1200,29.7500,31.4958,
STN,"Stantec Inc.",45,Buy,37075.1406,0.9900,2236.1626,17.4613,14.7604,2.7673,48.3200,31.5500,53.1537,
CPX,"Capital Power Corp",46,Buy,37075.1406,0.9900,1465.8539,26.4217,23.5010,0.7819,20.6600,21.8300,-5.3596,
WFT,"West Fraser Timber Co.",47,Buy,37075.1406,0.9900,3359.7273,38.9644,33.6841,2.1404,83.4000,55.5900,50.0270,
CNQ,"Cdn Natural Resources",48,Buy,37075.1406,0.9900,34951.2656,22.5867,21.8167,1.4230,32.1400,29.9900,7.1691,
CPG,"Crescent Pt Energy Corp",49,Buy,37075.1406,0.9900,14916.8867,22.3290,22.6416,1.7568,38.4200,40.9900,-6.2698,
WTE,"Westshore Terminals",50,Buy,37075.1406,0.9900,2179.2375,6.1437,5.8487,4.7773,29.3500,25.0500,17.1657,
MFC,"Manulife Financial Corp",51,Buy,37075.1406,0.9900,31744.3906,12.7187,12.7107,1.3719,17.2700,11.0400,56.4312,
CTC.A,"Cdn Tire Corp. Ltd.",52,Buy,37075.1406,0.9900,7174.0786,61.3856,56.2123,1.4596,89.0900,71.2700,25.0035,
ATD.B,"Aliment'n Couche-Tard*",53,Buy,37075.1406,0.9900,11400.2725,18.3763,12.7980,3.3053,60.7400,50.1400,21.1408,
PSI,"Pason Systems Inc.",54,Buy,37075.1406,0.9900,1759.7310,4.2849,4.7918,5.0013,21.4300,14.8800,44.0188,
ERF,"Enerplus Corporation",55,Buy,37075.1406,0.9900,3485.9094,15.6311,17.5390,1.1281,17.4300,15.5400,12.1622,
PEY,"Peyto Expl. & Dev. Corp",56,Buy,37075.1406,0.9900,4274.3574,8.2539,7.2141,3.5521,28.7500,20.4300,40.7244,
BBD.B,"Bombardier Inc.,B*",57,Buy,37075.1406,0.9900,8420.1455,0.8903,0.2050,5.4345,4.7900,3.5000,36.8571,
OTEX,"Open Text Corporation*",58,Buy,37075.1406,0.9900,4275.0171,23.8133,20.5953,3.0802,72.4000,52.9900,36.6296,
BIN,"Progressive Waste Sol.*",59,Buy,37075.1406,0.9900,2937.9050,11.6155,11.0544,2.1962,25.5100,19.5600,30.4192,
ENF,"Enbridge IF Holdings",60,Buy,37075.1406,0.9900,1313.9807,4.5162,2.9986,5.4172,23.2600,22.4200,3.7467,
