Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
UUU,"Uranium One Inc.*",36,Buy,32246.9805,0.6700,2068.2800,2.5288,2.3838,1.3920,3.5200,2.4500,43.6735,
CR,"Crew Energy Inc.",37,Buy,32246.9805,0.6700,1321.8545,7.8202,7.9021,2.1099,16.5000,6.1600,167.8571,
FRG,"Fronteer Gold Inc.",38,Buy,32246.9805,0.6700,955.5575,4.0036,3.7504,1.9782,7.9200,4.5900,72.5490,
NMC,"Newmont Mining (Exch.)*",39,Buy,32246.9805,0.6700,1141.5790,25.0371,21.9761,2.6129,65.4200,43.9400,48.8848,
T,"TELUS Corporation",40,Buy,32246.9805,0.6700,14106.3965,24.6811,23.2257,1.7827,44.0000,33.9500,29.6024,
RUS,"Russel Metals Inc.",41,Buy,32246.9805,0.6700,1140.2471,13.2263,14.3994,1.4719,19.1000,16.3700,16.6768,
LLL,"lululemon athletica*",42,Buy,32246.9805,0.6700,1747.2556,3.8289,2.8615,9.1515,35.0400,21.9500,59.6355,
ABX,"Barrick Gold Corp*",43,Buy,32246.9805,0.6700,49234.6445,17.7938,21.6303,2.8269,49.9500,37.7800,32.2128,
RBI1,"Red Back Mining Inc.*",44,Buy,32246.9805,0.6700,8174.0049,6.1629,3.8978,5.1648,31.8300,11.3700,179.9472,
CP,"Cdn Pacific Railway Ltd",45,Buy,32246.9805,0.6700,10594.7910,28.9389,39.3010,2.1704,62.8100,52.4200,19.8207,
WTN,"Western Coal Corp.",46,Buy/Sell,32246.9805,0.6700,1380.7804,2.4554,2.1995,1.6291,4.0000,2.6400,51.5151,
SU,"Suncor Energy Inc.",47,Buy,32246.9805,0.6700,50473.6602,22.1634,15.1569,1.4578,32.3100,33.4900,-3.5234,
CNR,"Cdn National Railway",48,Buy,32246.9805,0.6700,30296.2461,24.9338,23.6802,2.6097,65.0700,52.9200,22.9592,
TLM,"Talisman Energy Inc.*",49,Buy,32246.9805,0.6700,17096.4648,11.3781,11.5509,1.4739,16.7700,17.6000,-4.7159,
AEM,"Agnico Eagle Mines Ltd*",50,Buy,32246.9805,0.6700,11619.5000,19.9139,19.8787,3.0689,69.4400,62.7900,10.5909,
L,"Loblaw Companies Ltd.",51,Buy,32246.9805,0.6700,12108.9863,23.4756,21.6789,1.8526,43.4900,33.2500,30.7970,
CCL.B,"CCL Industries Inc., B",52,Buy,32246.9805,0.6700,1019.0751,23.0618,23.9874,1.3351,30.7900,22.0200,39.8274,
FTT,"Finning International",53,Buy,32246.9805,0.6700,3522.9275,7.9738,9.5035,2.6229,20.6000,16.1200,27.7916,
PMG,"Petrominerales Ltd.*",54,Buy,32246.9805,0.6700,2463.4963,6.7940,4.7771,3.6429,24.7500,10.7300,130.6617,
AGU,"Agrium Inc. *",55,Buy,32246.9805,0.6700,11686.2598,33.9595,33.1201,2.1864,74.2500,52.3500,41.8338,
TCL.A,"Transcontinental Inc.",56,Buy,32246.9805,0.6700,982.2266,13.5705,11.6616,0.9013,12.1500,9.5000,27.8947,
PMCS,"PMC-Sierra Inc.*",57,Buy,32246.9805,0.6700,1653.0656,4.5096,4.1727,1.6302,7.3515,9.9580,-26.1749,
MAXR,"Maxar Technologies *",58,Buy,32246.9805,0.6700,1910.8595,14.5065,13.6998,3.2151,46.6400,30.5000,52.9180,
CFP,"Canfor Corp.",59,Buy/Sell,32246.9805,0.6700,1160.9537,9.9879,10.0190,0.8150,8.1400,5.4600,49.0843,
TFII,"TFI International Inc.",60,Buy/Sell,32246.9805,0.6700,921.1052,5.8674,5.9175,1.6481,9.6700,7.8200,23.6573,
